attention,meditation,lowAlpha,lowBeta,lowGamma,highAlpha,highBeta,X,Y,Direction
75,64,5018,8685,5018,9097,9097,988,880,Up-Right
60,61,11636,8360,11636,5433,5433,1071,837,Up-Right
60,61,11636,8360,11636,5433,5433,1153,791,Up-Right
74,51,1249,7097,1249,10947,10947,1236,745,Up-Right
64,44,11178,1664,11178,7948,7948,1255,720,Left
57,60,23365,10679,23365,9058,9058,1172,720,Left
66,60,6878,10491,6878,10287,10287,1090,720,Left
67,64,4503,6272,4503,5684,5684,1007,720,Left
67,64,4503,6272,4503,5684,5684,925,720,Left
67,53,2235,12519,2235,4074,4074,842,720,Left
66,48,6161,6304,6161,5103,5103,760,720,Left
70,50,17652,20442,17652,31242,31242,677,720,Left
77,50,4035,10991,4035,20086,20086,595,720,Left
77,50,4035,10991,4035,20086,20086,506,720,Left
70,66,8621,5730,8621,3219,3219,423,720,Left
69,64,34273,13522,34273,24207,24207,341,720,Left
61,75,16812,5114,16812,11099,11099,258,720,Left
48,88,48812,4319,48812,16869,16869,176,720,Left
53,70,7438,16369,7438,6798,6798,93,720,Left
53,70,7438,16369,7438,6798,6798,11,720,Right
57,70,18665,32385,18665,32681,32681,74,720,Right
51,67,23656,3888,23656,3802,3802,157,720,Right
56,54,3848,11434,3848,3681,3681,239,720,Right
53,56,2684,3003,2684,1588,1588,322,720,Right
53,56,2684,3003,2684,1588,1588,404,720,Right
51,64,3270,2502,3270,3942,3942,487,720,Right
63,63,5292,6265,5292,1641,1641,569,720,Right
63,75,15816,11368,15816,13011,13011,652,720,Right
80,90,5748,5522,5748,6429,6429,734,720,Right
80,90,5748,5522,5748,6429,6429,817,720,Right
75,91,12071,2871,12071,2015,2015,899,720,Right
56,70,3721,8961,3721,2841,2841,982,720,Right
43,70,18121,10578,18121,4015,4015,1064,720,Right
29,66,19910,9001,19910,5121,5121,1147,720,Right
37,61,6507,10059,6507,7641,7641,1229,720,Up-Right
37,61,6507,10059,6507,7641,7641,1261,709,Up-Left
50,84,7029,6576,7029,5104,5104,1178,663,Up-Left
57,74,1504,10342,1504,4493,4493,1096,617,Up-Left
67,70,11538,11594,11538,14116,14116,1014,571,Up-Left
70,70,6484,3249,6484,9415,9415,931,525,Up-Left
70,70,6484,3249,6484,9415,9415,849,479,Up-Left
78,66,9620,16242,9620,9491,9491,766,433,Up-Left
69,70,28368,25834,28368,12419,12419,684,387,Up-Left
67,70,46109,219586,46109,44575,44575,595,337,Up-Left
57,67,8815,7218,8815,6069,6069,512,291,Up-Left
57,67,8815,7218,8815,6069,6069,430,245,Up-Left
50,74,8144,32450,8144,9733,9733,347,199,Up-Left
56,64,29797,54643,29797,22468,22468,265,153,Up-Left
47,74,12755,4633,12755,2026,2026,182,107,Up-Left
54,83,23029,12915,23029,11120,11120,100,61,Up-Left
54,78,32483,33764,32483,15075,15075,17,15,Down-Right
54,78,32483,33764,32483,15075,15075,74,46,Down-Right
43,66,5556,8658,5556,3787,3787,163,96,Down-Right
53,56,3997,7392,3997,6482,6482,246,142,Down-Right
51,51,13287,2028,13287,4696,4696,328,188,Down-Right
63,54,5182,3307,5182,4198,4198,411,234,Down-Right
63,54,5182,3307,5182,4198,4198,493,280,Down-Right
66,77,19253,5766,19253,3703,3703,576,327,Down-Right
56,69,40880,32358,40880,19170,19170,658,373,Down-Right
61,67,3439,1770,3439,1960,1960,741,419,Down-Right
61,64,3705,7256,3705,7580,7580,823,465,Down-Right
75,66,20341,24149,20341,23115,23115,906,511,Down-Right
75,66,20341,24149,20341,23115,23115,988,557,Down-Right
80,90,31833,3477,31833,7042,7042,1071,603,Down-Right
80,90,21791,2879,21791,9226,9226,1153,649,Down-Right
78,88,1035,13804,1035,6301,6301,1236,695,Down-Right
61,96,24579,4725,24579,3683,3683,1280,720,
