"attention","meditation","lowAlpha","lowBeta","lowGamma","highAlpha","highBeta","X","Y","Direction"
"67","38","145659","12944","145659","235847","235847","747","1018","Down-Left"
"67","47","230860","25442","230860","166791","166791","646","1074","Down-Left"
"69","54","96063","4154","96063","45110","45110","544","1131","Down-Left"
"69","54","96063","4154","96063","45110","45110","442","1188","Down-Left"
"78","53","238631","16702","238631","149853","149853","341","1245","Down-Left"
"80","56","18911","1435","18911","22773","22773","246","1298","Down-Left"
"70","51","480139","19939","480139","169364","169364","144","1355","Down-Left"
"66","41","490192","45666","490192","211454","211454","43","1411","Up-Right"
"66","41","490192","45666","490192","211454","211454","62","1401","Up-Right"
"77","47","37379","6818","37379","60112","60112","163","1344","Up-Right"
"70","44","54524","3347","54524","82802","82802","258","1291","Up-Right"
"90","50","228765","12830","228765","302950","302950","360","1234","Up-Right"
"93","54","135230","2234","135230","48502","48502","461","1177","Up-Right"
"93","54","135230","2234","135230","48502","48502","563","1121","Up-Right"
"74","47","37102","13387","37102","20766","20766","665","1064","Up-Right"
"74","47","8442","2965","8442","16256","16256","766","1007","Up-Right"
"48","21","33787","289294","33787","83422","83422","868","950","Up-Right"
"30","26","61566","18552","61566","6397","6397","963","897","Up-Right"
"30","26","61566","18552","61566","6397","6397","1064","841","Up-Right"
"50","34","8058","4315","8058","8515","8515","1166","784","Up-Right"
"40","50","5127","2760","5127","2490","2490","1267","727","Up-Left"
"30","54","1942","31152","1942","26431","26431","1210","720","Left"
"37","51","20820","9826","20820","4200","4200","1115","720","Left"
"37","51","20820","9826","20820","4200","4200","1014","720","Left"
"7","48","20239","10316","20239","3596","3596","912","720","Left"
"1","48","16938","1128","16938","6398","6398","810","720","Left"
"11","63","6749","2812","6749","4033","4033","709","720","Left"
"14","51","10643","2837","10643","5787","5787","607","720","Left"
"14","51","10643","2837","10643","5787","5787","512","720","Left"
"20","56","1569","852","1569","344","344","411","720","Left"
"3","38","75995","10705","75995","14411","14411","309","720","Left"
"4","34","11202","19590","11202","5147","5147","208","720","Left"
"1","29","242228","125309","242228","73505","73505","106","720","Left"
"1","29","242228","125309","242228","73505","73505","11","720","Right"
"10","30","9154","936","9154","5768","5768","93","720","Right"
"20","38","122848","67627","122848","83504","83504","195","720","Right"
"16","38","9884","5791","9884","3926","3926","297","720","Right"
"35","53","7057","969","7057","2382","2382","398","720","Right"
"35","53","7057","969","7057","2382","2382","500","720","Right"
"37","48","17148","2321","17148","11823","11823","595","720","Right"
"56","56","273810","3405","273810","155880","155880","696","720","Right"
"70","66","195990","16086","195990","96944","96944","798","720","Right"
"67","48","20694","3355","20694","20872","20872","899","720","Right"
"67","48","20694","3355","20694","20872","20872","1001","720","Right"
"80","50","65717","3087","65717","66325","66325","1096","720","Right"
"60","48","145904","2586","145904","30403","30403","1198","720","Right"
"64","40","245779","12381","245779","259899","259899","1280","720","Up-Left"
"78","47","26757","1770","26757","37966","37966","1178","663","Up-Left"
"69","53","174972","20485","174972","143556","143556","1077","607","Up-Left"
"69","53","174972","20485","174972","143556","143556","975","550","Up-Left"
"88","47","239746","22939","239746","228288","228288","880","497","Up-Left"
"90","51","113408","20453","113408","125019","125019","779","440","Up-Left"
"83","54","358039","12751","358039","233466","233466","677","383","Up-Left"
"90","50","59642","5603","59642","55755","55755","576","327","Up-Left"
"90","50","59642","5603","59642","55755","55755","474","270","Up-Left"
"81","44","22445","7444","22445","24497","24497","379","217","Up-Left"
"88","44","40594","2991","40594","48815","48815","277","160","Up-Left"
"91","44","210763","16697","210763","194787","194787","176","103","Up-Left"
"77","21","3997","9621","3997","165070","165070","74","46","Up-Left"
"77","21","3997","9621","3997","165070","165070","30","22","Down-Right"
"93","35","114967","10058","114967","209448","209448","132","78","Down-Right"
"96","40","83785","11921","83785","227541","227541","227","132","Down-Right"
"97","48","39353","4812","39353","46232","46232","328","188","Down-Right"
"97","70","101063","14127","101063","161481","161481","430","245","Down-Right"
"97","70","101063","14127","101063","161481","161481","531","302","Down-Right"
"100","64","28770","19796","28770","235830","235830","633","358","Down-Right"
"90","70","249437","20821","249437","141723","141723","734","415","Down-Right"
"93","74","344054","24184","344054","278177","278177","830","468","Down-Right"
"100","80","90299","8905","90299","76347","76347","931","525","Down-Right"
"100","80","90299","8905","90299","76347","76347","1033","582","Down-Right"
"88","90","271862","34560","271862","201606","201606","1134","638","Down-Right"
"91","83","6642","406","6642","10630","10630","1236","695","Down-Right"
"75","75","39754","5065","39754","63816","63816","1280","720",""
